Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
در ایالت متحده آمریکا رانندگان اغلب در سمت <mask> جاده رانندگی می کنند.	در ایالت متحده آمریکا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟	راست	راست, چپ, وسط, هرجا	keep left/right	right	T
در چین رانندگان اغلب در سمت <mask> جاده رانندگی می کنند.	در چین رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟	راست	راست, چپ, وسط, هرجا	keep left/right	right	T
در هند رانندگان اغلب در سمت <mask> جاده رانندگی می کنند.	در هند رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟	چپ	راست, چپ, وسط, هرجا	keep left/right	left	T
در ایران رانندگان اغلب در سمت <mask> جاده رانندگی می کنند.	در ایران رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟	راست	راست, چپ, وسط, هرجا	keep left/right	right	T
در کنیا رانندگان اغلب در سمت <mask> جاده رانندگی می کنند.	در کنیا رانندگان اغلب در چه سمتی از جاده رانندگی می کنند؟	چپ	راست, چپ, وسط, هرجا	keep left/right		
						
در ایالت متحده آمریکا صندلی راننده در سمت <mask> ماشین قرار دارد.	در ایالت متحده آمریکا صندلی راننده در چه سمتی از ماشین قرار دارد؟	چپ	راست, چپ, جلو, عقب	driver seat	right	F
در چین صندلی راننده در سمت <mask> ماشین قرار دارد.	در چین صندلی راننده در چه سمتی از ماشین قرار دارد؟	چپ	راست, چپ, جلو, عقب	driver seat	right	F
درهند صندلی راننده در سمت <mask> ماشین قرار دارد.	در هند صندلی راننده در چه سمتی از ماشین قرار دارد؟	راست	راست, چپ, جلو, عقب	driver seat	راست	T
در ایران صندلی راننده در سمت <mask> ماشین قرار دارد.	در ایران صندلی راننده در چه سمتی از ماشین قرار دارد؟	چپ	راست, چپ, جلو, عقب	driver seat	right	F
در کنیا صندلی راننده در سمت <mask> ماشین قرار دارد.	در کنیا صندلی راننده در چه سمتی از ماشین قرار دارد؟	راست	راست, چپ, جلو, عقب	driver seat		
						
