Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
अमेरिका में लोग गाड़ी <mask> हाथ की तरफ चलाते है।	अमेरिका में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?	दायें	बाएं, दायें, मध्यम, कहीं भी	keep left/right	सिर्फ एक हाथ होता है।	I
चीन में लोग गाड़ी <mask> हाथ की तरफ चलाते है।	चीन में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?	दायें	बाएं, दायें, मध्यम, कहीं भी	keep left/right	पीछे चलते ह	I
भारत में लोग गाड़ी <mask> हाथ की तरफ चलाते है।	भारत में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?	बाएं	बाएं, दायें, मध्यम, कहीं भी	keep left/right	सिर्फ एक हाथ होता है.	I
ईरान में लोग गाड़ी <mask> हाथ की तरफ चलाते है।	ईरान में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?	दायें	बाएं, दायें, मध्यम, कहीं भी	keep left/right	पीछे चलते ह	I
केन्या में लोग गाड़ी <mask> हाथ की तरफ चलाते है।	केन्या में गाड़ी चलाते समय लोग आमतौर पर किस हाथ की तरफ चलते है?	बाएं	बाएं, दायें, मध्यम, कहीं भी	keep left/right	दोनों हाथों की तरफ	F
						
अमेरिका में कार की ड्राइवर सीट <mask> हाथ की तरफ होती है।	अमेरिका में ड्राइवर की सीट कार के किस तरफ होती है?	बाएं	बाएं, दायें, आगे, पीछे	driver seat	सीट कार के किस तरफ होती है?	I
चीन में कार की ड्राइवर सीट <mask> हाथ की तरफ होती है।	चीन में ड्राइवर की सीट कार के किस तरफ होती है?	बाएं	बाएं, दायें, आगे, पीछे	driver seat	सिर्फ एक तरफ होती ह	F
भारत में कार की ड्राइवर सीट <mask> हाथ की तरफ होती है।	भारत में ड्राइवर की सीट कार के किस तरफ होती है?	दायें	बाएं, दायें, आगे, पीछे	driver seat	सीट कार के किस तरफ होती है?	I
ईरान में कार की ड्राइवर सीट <mask> हाथ की तरफ होती है।	ईरान में ड्राइवर की सीट कार के किस तरफ होती है?	बाएं	बाएं, दायें, आगे, पीछे	driver seat	सीट कार के किस तरफ होती है?	I
केन्या में कार की ड्राइवर सीट <mask> हाथ की तरफ होती है।	केन्या में ड्राइवर की सीट कार के किस तरफ होती है?	दायें	बाएं, दायें, आगे, पीछे	driver seat	केन्या में ड्राइवर की सीट कार के किस तरफ होती है?	I
						
अमेरिका में ऊंचाई मापने की इकाई <mask> है।	अमेरिका में ऊंचाई मापने की इकाई क्या है?	इंच, फीट	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर	measurement unit	अमेरिका में ऊंचाई मापने की इकाई क्या है? अमेरिका में ऊंचाई मापने क	I
चीन में ऊंचाई मापने की इकाई <mask> है।	चीन में ऊंचाई मापने की इकाई क्या है?	सेंटीमीटर, मीटर	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर	measurement unit	समुद्र के प्रति समुद्र की ऊंचाई के बराबर है।	I
भारत में ऊंचाई मापने की इकाई <mask> है।	भारत में ऊंचाई मापने की इकाई क्या है?	इंच, फीट, सेंटीमीटर, मीटर	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर	measurement unit	हमारे देश में ऊंचाई मापने की इकाई क्या है?	I
ईरान में ऊंचाई मापने की इकाई <mask> है।	ईरान में ऊंचाई मापने की इकाई क्या है?	सेंटीमीटर, मीटर	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर	measurement unit	मुंबई में ऊंचाई मापने की इकाई क्या है?	I
केन्या में ऊंचाई मापने की इकाई <mask> है।	केन्या में ऊंचाई मापने की इकाई क्या है?	इंच, फीट, सेंटीमीटर, मीटर	फीट, इंच, यार्ड, मील, मिलीमीटर, सेंटीमीटर, मीटर, किलोमीटर	measurement unit	केन्या में ऊंचाई मापने की इकाई है मीटर्स.	T
						
अमेरिका में वजन मापने की इकाई <mask> है।	अमेरिका में वजन मापने की इकाई क्या है?	पाउंड	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम	measurement unit	वजन मापने के लिए अमेरिका में कुछ नियमों का पालन किया जाता है जिनमे	I
चीन में वजन मापने की इकाई <mask> है।	चीन में वजन मापने की इकाई क्या है?	किलोग्राम	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम	measurement unit	वजन मापने की इकाई क्या है?	I
भारत में वजन मापने की इकाई <mask> है।	भारत में वजन मापने की इकाई क्या है?	किलोग्राम	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम	measurement unit	वजन मापने की इकाई क्या है?	I
ईरान में वजन मापने की इकाई <mask> है।	ईरान में वजन मापने की इकाई क्या है?	किलोग्राम	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम	measurement unit	वजन मापने की इकाई क्या है?	I
