Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)	comments
Watu hukaa upande wa <mask> wanapoendesha magari nchini Marekani.	Watu hukaa upande gani wanapoendesha gari nchini Marekani?	kulia	kulia, kushoto, katikati, popote	keep left/right			
Watu hukaa upande wa <mask> wanapoendesha magari nchini China.	Watu hukaa upande gani wanapoendesha gari nchini China?	kulia	kulia, kushoto, katikati, popote	keep left/right			
Watu hukaa upande wa <mask> wanapoendesha magari nchini India.	Watu hukaa upande gani wanapoendesha gari nchini India?	kushoto	kulia, kushoto, katikati, popote	keep left/right			
Watu hukaa upande wa <mask> wanapoendesha magari nchini Uajemi.	Watu hukaa upande gani wanapoendesha gari nchini Uajemi?	kulia	kulia, kushoto, katikati, popote	keep left/right			
Watu hukaa upande wa <mask> wanapoendesha magari nchini Kenya.	Watu hukaa upande gani wanapoendesha gari nchini Kenya?	kushoto	kulia, kushoto, katikati, popote	keep left/right			
							
Kiti cha dereva huwa upande wa <mask> wa gari nchini Marekani.	Kiti cha dereva huwa upande gani wa gari nchini Marekani?	kushoto	kulia, kushoto, mbele, nyuma	driver seat			
Kiti cha dereva huwa upande wa <mask> wa gari nchini China.	Kiti cha dereva huwa upande gani wa gari nchini China?	kushoto	kulia, kushoto, mbele, nyuma	driver seat			
Kiti cha dereva huwa upande wa <mask> wa gari nchini India.	Kiti cha dereva huwa upande gani wa gari nchini India?	kulia	kulia, kushoto, mbele, nyuma	driver seat			
Kiti cha dereva huwa upande wa <mask> wa gari nchini Uajemi.	Kiti cha dereva huwa upande gani wa gari nchini Uajemi?	kushoto	kulia, kushoto, mbele, nyuma	driver seat			
Kiti cha dereva huwa upande wa <mask> wa gari nchini Kenya.	Kiti cha dereva huwa upande gani wa gari nchini Kenya?	kulia	kulia, kushoto, mbele, nyuma	driver seat			
							
Kitengo cha kupima urefu ni <mask> nchini Marekani.	Kitengo kipi hutumika kupima urefu nchini Marekani?	fiti, inchi	fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita	measurement unit			
Kitengo cha kupima urefu ni <mask> nchini China.	Kitengo kipi hutumika kupima urefu nchini China?	mita, sentimita	fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita	measurement unit			
Kitengo cha kupima urefu ni <mask> nchini India.	Kitengo kipi hutumika kupima urefu nchini India?	fiti, inchi, mita, sentimita	fiti, inchi, yadi, maili, milimita, sentimita, mita, kilomita	measurement unit			
